Arrival_time1,Burst_time1,Arrival_time2,Burst_time2,Arrival_time3,Burst_time3,Arrival_time4,Burst_time4,Arrival_time5,Burst_time5,Labels
0,7,0,5,9,9,0,15,2,1,SRTF
7,9,7,15,3,7,10,4,4,13,SJF
5,4,7,14,3,16,4,4,2,5,SJF
7,16,2,7,6,16,1,19,3,18,SRTF
10,11,1,5,8,8,10,2,9,12,SRTF
2,16,7,19,10,10,4,7,1,7,SJF
5,9,8,12,1,9,8,12,8,1,SRTF
2,17,3,10,10,3,0,15,5,4,SRTF
4,12,0,9,10,12,4,4,3,1,SRTF
8,18,10,14,3,16,7,8,0,7,SJF
8,15,1,10,6,2,0,1,4,20,SRTF
0,9,2,5,7,1,7,6,0,14,SRTF
4,8,7,19,8,20,8,7,2,1,SJF
1,15,7,2,10,4,0,3,3,17,SRTF
10,4,6,16,0,4,10,8,10,17,SRTF
3,6,6,3,7,8,5,14,2,13,FCFS
10,17,0,2,0,17,7,2,0,8,SRTF
7,5,6,2,2,5,6,13,0,5,SRTF
9,16,5,16,1,6,7,5,6,4,SJF
0,17,6,5,9,13,8,6,0,18,SRTF
6,15,2,12,5,14,8,19,7,8,SJF
7,16,6,18,5,6,5,14,5,8,SJF
2,13,10,19,6,6,9,19,9,19,SRTF
2,4,1,1,4,20,4,18,5,3,SJF
5,5,4,18,8,16,4,14,3,19,FCFS
5,1,10,8,7,11,0,5,5,18,SRTF
9,18,5,20,8,9,1,17,3,11,SRTF
7,19,5,11,9,14,7,6,10,18,SRTF
5,7,6,3,10,17,1,3,10,19,SRTF
4,5,2,5,3,20,2,15,0,10,SRTF
0,16,2,1,10,4,3,5,5,5,SRTF
6,5,7,1,1,12,5,8,2,15,FCFS
8,16,1,4,1,6,2,15,3,13,SJF
9,20,5,9,2,9,3,6,3,16,SRTF
8,6,8,17,8,4,6,15,5,11,SRTF
2,4,5,7,5,6,3,16,3,15,FCFS
2,7,4,4,6,18,2,3,8,13,SJF
2,7,3,17,3,5,3,20,6,4,SRTF
0,16,9,16,3,1,5,19,0,15,SRTF
9,1,9,10,3,13,5,3,2,17,SRTF
3,1,3,13,2,3,3,19,1,20,SRTF
7,17,0,20,4,1,10,17,3,5,SRTF
4,14,10,13,6,13,8,15,5,8,SRTF
5,10,4,2,7,15,6,14,3,5,SRTF
7,12,5,9,3,19,6,20,3,10,SJF
5,17,1,6,1,16,7,1,10,17,SJF
3,4,10,13,2,4,7,15,1,3,SJF
6,7,10,11,5,1,1,20,1,17,SRTF
0,4,1,10,8,11,2,9,2,20,SJF
6,7,9,14,7,18,3,16,1,11,SJF
2,9,6,3,6,7,10,13,7,20,FCFS
5,20,5,9,10,6,7,6,0,4,RR
7,5,10,12,1,12,6,12,1,10,SJF
6,9,5,16,3,11,6,15,7,17,FCFS
